t,x,y,yaw
10.933333,2.706324,0.345996,0.168590
10.966667,2.714568,0.347233,0.177954
11.000000,2.722791,0.348615,0.199183
11.033333,2.731023,0.349946,0.196905
11.066667,2.739275,0.351142,0.179287
11.100000,2.747510,0.352440,0.184222
11.133333,2.755670,0.354138,0.225219
11.166667,2.763742,0.356212,0.267374
11.200000,2.771808,0.358311,0.265842
11.233333,2.779901,0.360298,0.244356
11.266667,2.787964,0.362404,0.251031
11.300000,2.795967,0.364726,0.273967
11.333333,2.803992,0.366974,0.267709
11.366667,2.812108,0.368864,0.230149
11.400000,2.820292,0.370435,0.195614
11.433333,2.828478,0.371996,0.197063
11.466667,2.836635,0.373704,0.219882
11.500000,2.844804,0.375362,0.218616
11.533333,2.853008,0.376830,0.196891
11.566667,2.861214,0.378290,0.193453
11.600000,2.869367,0.380016,0.221683
11.633333,2.877435,0.382106,0.266851
11.666667,2.885492,0.384243,0.282169
11.700000,2.893641,0.386003,0.243817
11.733333,2.901840,0.387530,0.221477
11.766667,2.910059,0.388952,0.214585
11.800000,2.918286,0.390339,0.217071
11.833333,2.926534,0.391617,0.209836
11.866667,2.934799,0.392798,0.202750
11.900000,2.943072,0.393936,0.200992
11.933333,2.951342,0.395109,0.209383
11.966667,2.959607,0.396336,0.220658
12.000000,2.967878,0.397554,0.226199
12.033333,2.976152,0.398771,0.230853
12.066667,2.984428,0.399972,0.226499
12.100000,2.992699,0.401154,0.214685
12.133333,3.000958,0.402360,0.201463
12.166667,3.009208,0.403586,0.190220
12.200000,3.017468,0.404730,0.171373
12.233333,3.025736,0.405795,0.156589
12.266667,3.034002,0.406875,0.155899
12.300000,3.042280,0.407852,0.142108
12.333333,3.050573,0.408696,0.124834
12.366667,3.058869,0.409504,0.120078
12.400000,3.067167,0.410301,0.118563
12.433333,3.075470,0.411034,0.110707
12.466667,3.083776,0.411734,0.104797
12.500000,3.092074,0.412508,0.112265
12.533333,3.100355,0.413451,0.128725
12.566667,3.108610,0.414593,0.148013
12.600000,3.116833,0.415949,0.168853
12.633333,3.125044,0.417376,0.161479
12.666667,3.133239,0.418913,0.149851
12.700000,3.141397,0.420709,0.147832
12.733333,3.149498,0.422857,0.152688
12.766667,3.157549,0.425302,0.156434
12.800000,3.165588,0.427899,0.147234
12.833333,3.173577,0.430751,0.154943
12.866667,3.181505,0.433862,0.166142
12.900000,3.189416,0.437108,0.163542
12.933333,3.197319,0.440457,0.159060
12.966667,3.205206,0.443920,0.157891
13.000000,3.213087,0.447469,0.154466
13.033333,3.220952,0.451121,0.154709
13.066667,3.228788,0.454899,0.158377
13.100000,3.236613,0.458758,0.157530
13.133333,3.244418,0.462712,0.159526
13.166667,3.252202,0.466751,0.161805
13.200000,3.259969,0.470869,0.163501
13.233333,3.267732,0.475033,0.162272
13.266667,3.275494,0.479233,0.160658
13.300000,3.283250,0.483476,0.160474
13.333333,3.290997,0.487762,0.160948
13.366667,3.298728,0.492102,0.163177
13.400000,3.306455,0.496472,0.162996
13.433333,3.314185,0.500857,0.161211
13.466667,3.321918,0.505259,0.159746
13.500000,3.329647,0.509683,0.159443
13.533333,3.337374,0.514131,0.159057
13.566667,3.345090,0.518616,0.160590
13.600000,3.352798,0.523131,0.161564
13.633333,3.360499,0.527670,0.162260
13.666667,3.368201,0.532219,0.161840
13.700000,3.375914,0.536760,0.158812
13.733333,3.383626,0.541313,0.158485
13.766667,3.391343,0.545861,0.157035
13.800000,3.399067,0.550400,0.155746
13.833333,3.406781,0.554950,0.157936
13.866667,3.414496,0.559491,0.158160
13.900000,3.422212,0.564018,0.158499
13.933333,3.429923,0.568539,0.160183
13.966667,3.437643,0.573032,0.159166
14.000000,3.445368,0.577498,0.158708
14.033333,3.453090,0.581953,0.160101
14.066667,3.460803,0.586406,0.163111
14.100000,3.468507,0.590854,0.166139
14.133333,3.476216,0.595273,0.166469
14.166667,3.483927,0.599665,0.166859
14.200000,3.491645,0.604024,0.166612
14.233333,3.499366,0.608356,0.166910
14.266667,3.507094,0.612658,0.166530
14.300000,3.514812,0.616959,0.169577
14.333333,3.522512,0.621278,0.174791
14.366667,3.530189,0.625624,0.181036
14.400000,3.537821,0.630042,0.191745
14.433333,3.545384,0.634570,0.207512
14.466667,3.552898,0.639173,0.218673
14.500000,3.560390,0.643807,0.223921
14.533333,3.567866,0.648461,0.227532
14.566667,3.575325,0.653139,0.231674
14.600000,3.582765,0.657844,0.235907
14.633333,3.590180,0.662586,0.241553
14.666667,3.597569,0.667369,0.246939
14.700000,3.604918,0.672212,0.255251
14.733333,3.612220,0.677125,0.264745
14.766667,3.619493,0.682086,0.270383
14.800000,3.626737,0.687094,0.275804
14.833333,3.633944,0.692164,0.282131
14.866667,3.641121,0.697287,0.287033
14.900000,3.648268,0.702458,0.292328
14.933333,3.655399,0.707648,0.295686
14.966667,3.662530,0.712825,0.296820
15.000000,3.669633,0.718020,0.304493
15.033333,3.676683,0.723265,0.317034
15.066667,3.683731,0.728486,0.320455
15.100000,3.690780,0.733678,0.323483
15.133333,3.697883,0.738767,0.316432
15.166667,3.705070,0.743713,0.302128
15.200000,3.712317,0.748559,0.291676
15.233333,3.719598,0.753345,0.285170
15.266667,3.726895,0.758102,0.282476
15.300000,3.734190,0.762853,0.283774
15.333333,3.741496,0.767567,0.283772
15.366667,3.748797,0.772260,0.287961
15.400000,3.756089,0.776933,0.294107
15.433333,3.763404,0.781529,0.294704
15.466667,3.770696,0.786134,0.302790
15.500000,3.777881,0.790887,0.328006
15.533333,3.784919,0.795840,0.360869
15.566667,3.791867,0.800900,0.381833
15.600000,3.798762,0.806012,0.396540
15.633333,3.805678,0.811067,0.397587
15.666667,3.812592,0.816094,0.403552
15.700000,3.819429,0.821215,0.421597
15.733333,3.826206,0.826412,0.433615
15.766667,3.832833,0.831790,0.464129
15.800000,3.839287,0.837372,0.496562
15.833333,3.845671,0.843031,0.509637
15.866667,3.851851,0.848915,0.544060
15.900000,3.858049,0.854787,0.539103
15.933333,3.864251,0.860665,0.535589
15.966667,3.870484,0.866525,0.526465
16.000000,3.876729,0.872386,0.521154
16.033333,3.882910,0.878328,0.528376
16.066667,3.888987,0.884397,0.540182
16.100000,3.894987,0.890567,0.547110
16.133333,3.900884,0.896855,0.558490
16.166667,3.906679,0.903257,0.570179
16.200000,3.912409,0.909731,0.576814
16.233333,3.918182,0.916178,0.567638
16.266667,3.923945,0.922644,0.566445
16.300000,3.929661,0.929163,0.571718
16.333333,3.935358,0.935704,0.573193
16.366667,3.941069,0.942235,0.570299
16.400000,3.946732,0.948814,0.576759
16.433333,3.952313,0.955466,0.587913
16.466667,3.957793,0.962207,0.601580
16.500000,3.963174,0.969036,0.614672
16.533333,3.968541,0.975882,0.615044
16.566667,3.973975,0.982681,0.603821
16.600000,3.979524,0.989391,0.585745
16.633333,3.985189,0.996006,0.567772
16.666667,3.990882,1.002599,0.563343
16.700000,3.996525,1.009232,0.571307
16.733333,4.002091,1.015936,0.581610
16.766667,4.007573,1.022718,0.591987
16.800000,4.013010,1.029548,0.596133
16.833333,4.018440,1.036392,0.595246
16.866667,4.023852,1.043255,0.596877
16.900000,4.029290,1.050099,0.592670
16.933333,4.034680,1.056978,0.600365
16.966667,4.039995,1.063908,0.612845
17.000000,4.045241,1.070878,0.625280
17.033333,4.050482,1.077835,0.629959
17.066667,4.055732,1.084773,0.631805
17.100000,4.060999,1.091685,0.632490
