t,x,y,yaw
15.700000,2.930421,-0.057141,12.294540
15.733333,2.938701,-0.058083,12.453120
15.766667,2.932219,-0.063320,10.104342
15.800000,2.934627,-0.055343,7.560786
15.833333,2.929576,-0.048714,8.505136
15.866667,2.925961,-0.056223,10.546877
15.900000,2.919344,-0.061288,10.078159
15.933333,2.911699,-0.064603,9.833826
15.966667,2.903368,-0.064810,9.449586
16.000000,2.895494,-0.062080,9.091104
16.033333,2.887181,-0.062667,9.495253
16.066667,2.880649,-0.067841,10.094581
16.100000,2.875629,-0.074492,10.349097
16.133333,2.876840,-0.082737,11.141457
16.166667,2.881067,-0.089919,11.527491
16.200000,2.887919,-0.094662,11.960881
16.233333,2.892541,-0.101596,11.583548
16.266667,2.897258,-0.108466,11.597345
16.300000,2.903467,-0.114024,11.836207
16.333333,2.910337,-0.118742,11.964576
16.366667,2.916432,-0.124424,11.816078
16.400000,2.922077,-0.130554,11.739733
16.433333,2.927049,-0.137242,11.634854
16.466667,2.934617,-0.140729,12.134567
16.500000,2.942946,-0.140469,12.597637
16.533333,2.950498,-0.143993,12.129746
16.566667,2.951601,-0.152253,11.128317
16.600000,2.944150,-0.155985,9.889103
16.633333,2.937839,-0.150543,8.713228
16.666667,2.933361,-0.143515,8.421291
16.700000,2.926186,-0.139276,8.891100
16.733333,2.917864,-0.139703,9.476078
16.766667,2.911139,-0.144624,10.056491
16.800000,2.905690,-0.150930,10.282949
16.833333,2.900818,-0.157691,10.371183
16.866667,2.900960,-0.166023,11.012529
16.900000,2.895746,-0.172524,10.319630
16.933333,2.891211,-0.179515,10.420107
16.966667,2.893346,-0.187570,11.254633
17.000000,2.900917,-0.191052,12.135308
17.033333,2.909250,-0.191106,12.559859
17.066667,2.917476,-0.189777,12.726630
17.100000,2.925478,-0.187449,12.849421
17.133333,2.933457,-0.185044,12.859187
17.166667,2.940720,-0.180959,13.078706
17.200000,2.943450,-0.173085,13.803445
17.233333,2.946126,-0.165193,13.810154
17.266667,2.947830,-0.157036,13.931267
17.300000,2.951261,-0.149442,13.712885
17.333333,2.958803,-0.145898,13.005655
17.366667,2.967132,-0.146162,12.534646
17.400000,2.973507,-0.151529,11.866669
17.433333,2.974473,-0.159806,11.111711
17.466667,2.973616,-0.168095,10.892584
17.500000,2.973212,-0.176418,10.947022
17.533333,2.975658,-0.184385,11.293507
17.566667,2.978362,-0.192267,11.326099
17.600000,2.979037,-0.200573,11.076639
17.633333,2.981882,-0.208406,11.343933
17.666667,2.983840,-0.216506,11.232773
17.700000,2.981964,-0.224625,10.768458
17.733333,2.986290,-0.231747,11.541470
17.766667,2.993130,-0.236507,11.958440
17.800000,2.999544,-0.241828,11.873843
17.833333,3.005468,-0.247688,11.786374
17.866667,3.011933,-0.252947,11.883503
17.900000,3.017719,-0.258944,11.763018
17.933333,3.024673,-0.263536,11.982789
17.966667,3.032986,-0.264117,12.496558
18.000000,3.035122,-0.272172,11.254794
18.033333,3.040212,-0.278771,11.652611
18.066667,3.043029,-0.286613,11.340363
18.100000,3.041978,-0.294880,10.869205
18.133333,3.037481,-0.301896,10.425468
18.166667,3.029202,-0.302851,9.539612
18.200000,3.021541,-0.299572,9.020380
18.233333,3.013804,-0.296477,9.044298
18.266667,3.005952,-0.293686,9.083259
18.300000,2.997748,-0.292223,9.248296
18.333333,2.990403,-0.288285,8.932577
18.366667,2.982470,-0.285735,9.113800
18.400000,2.974142,-0.286034,9.460673
18.433333,2.966764,-0.282160,8.941249
18.466667,2.959034,-0.285273,9.807592
18.500000,2.954378,-0.292184,10.402778
18.533333,2.950998,-0.299801,10.577915
18.566667,2.948342,-0.307700,10.671168
18.600000,2.948558,-0.316030,11.021534
18.633333,2.951583,-0.323795,11.367040
18.666667,2.959047,-0.327501,12.105539
18.700000,2.963312,-0.320342,13.599890
18.733333,2.960396,-0.328148,10.638125
18.766667,2.963234,-0.335984,11.343121
18.800000,2.966147,-0.328176,13.780104
18.833333,2.972580,-0.322878,13.255286
18.866667,2.980873,-0.322064,12.664215
18.900000,2.986368,-0.328329,11.715601
18.933333,2.985653,-0.336632,10.909589
18.966667,2.981757,-0.343999,10.509184
19.000000,2.980566,-0.352246,10.852096
19.033333,2.983648,-0.359989,11.374464
19.066667,2.987975,-0.367111,11.541488
19.100000,2.990428,-0.375075,11.294369
19.133333,2.988758,-0.383239,10.793767
19.166667,2.987934,-0.391532,10.896600
19.200000,2.985494,-0.399500,10.698403
19.233333,2.991386,-0.405392,11.780914
19.266667,2.999687,-0.406126,12.478267
19.300000,3.006754,-0.401709,13.125025
19.333333,3.008283,-0.393517,13.952581
19.366667,3.003971,-0.386386,14.681113
19.400000,2.998139,-0.380434,14.912351
19.433333,2.989880,-0.379323,15.574312
19.466667,2.988553,-0.371096,14.297011
19.500000,2.989771,-0.362852,13.990497
19.533333,2.996568,-0.358032,13.183244
19.566667,3.004563,-0.360382,12.280446
19.600000,3.010202,-0.366519,11.738676
19.633333,3.011369,-0.374770,11.136104
19.666667,3.010757,-0.383081,10.922035
19.700000,3.012893,-0.391135,11.254900
19.733333,3.019639,-0.396028,11.938915
19.766667,3.027924,-0.395128,12.674538
19.800000,3.034753,-0.390352,13.176618
19.833333,3.040205,-0.384050,13.423990
19.866667,3.046189,-0.378250,13.336142
19.900000,3.054516,-0.377910,12.607157
19.933333,3.062813,-0.378688,12.472930
19.966667,3.070099,-0.374643,13.073127
20.000000,3.076058,-0.368819,13.340330
20.033333,3.081451,-0.362466,13.433275
20.066667,3.083050,-0.354287,13.944180
20.100000,3.080043,-0.346515,14.506300
20.133333,3.072808,-0.342380,15.188732
20.166667,3.080186,-0.338506,13.049906
20.200000,3.076615,-0.330977,14.580045
20.233333,3.073262,-0.323348,14.551244
20.266667,3.080269,-0.318836,13.138396
20.300000,3.088276,-0.321143,12.285917
20.333333,3.094204,-0.327001,11.786881
20.366667,3.097464,-0.334670,11.397518
20.400000,3.099221,-0.342816,11.208013
20.433333,3.102778,-0.350352,11.436664
20.466667,3.106292,-0.357908,11.430860
20.500000,3.105740,-0.366223,10.929199
20.533333,3.098549,-0.370434,9.954541
20.566667,3.090948,-0.373851,9.847354
20.600000,3.083691,-0.377947,9.938539
20.633333,3.083870,-0.386278,11.017061
20.666667,3.085846,-0.394374,11.234994
20.700000,3.087784,-0.402479,11.230255
20.733333,3.092588,-0.409288,11.609963
20.766667,3.098278,-0.415376,11.747243
20.800000,3.101604,-0.423017,11.406180
20.833333,3.100757,-0.431307,10.893693
20.866667,3.094284,-0.436556,10.106161
20.900000,3.092097,-0.444597,10.729924
20.933333,3.090649,-0.452803,10.820969
20.966667,3.083237,-0.456613,9.899609
21.000000,3.075246,-0.454251,9.137406
21.033333,3.072374,-0.446429,8.205831
21.066667,3.075240,-0.438604,7.502892
21.100000,3.079351,-0.431355,7.338029
21.133333,3.080600,-0.423116,7.703539
21.166667,3.078366,-0.415088,8.125412
21.200000,3.073432,-0.408372,8.487554
21.233333,3.069835,-0.400855,8.300314
21.266667,3.066881,-0.393063,8.216375
21.300000,3.071190,-0.385930,7.310611
21.333333,3.079398,-0.384490,6.456813
21.366667,3.087156,-0.387530,5.909703
21.400000,3.095113,-0.385051,6.585240
21.433333,3.101943,-0.380278,6.893132
21.466667,3.108621,-0.375293,6.924405
21.500000,3.111819,-0.367598,7.460141
21.533333,3.113353,-0.359407,7.668796
21.566667,3.113497,-0.351075,7.836742
21.600000,3.119409,-0.345202,7.065237
21.633333,3.121521,-0.337141,7.597805
21.666667,3.128570,-0.332695,6.845855
21.700000,3.136587,-0.334969,6.006773
21.733333,3.154566,-0.334633,5.212919
21.766667,3.154342,-0.342964,4.685463
21.800000,3.151803,-0.350901,4.402778
21.833333,3.149164,-0.358805,4.390254
21.866667,3.148759,-0.367129,4.663750
21.900000,3.150337,-0.375312,4.902815
21.933333,3.147940,-0.383293,4.420723
21.966667,3.140469,-0.386984,3.600502
22.000000,3.132158,-0.387588,3.214114
22.033333,3.123840,-0.388089,3.201696
22.066667,3.118264,-0.394282,3.979393
22.100000,3.113423,-0.401065,4.092519
22.133333,3.110065,-0.408692,4.297682
22.166667,3.111985,-0.416801,4.944875
22.200000,3.113917,-0.424907,4.946407
22.233333,3.106963,-0.429498,3.725053
22.266667,3.099527,-0.425736,2.673201
22.300000,3.098927,-0.417424,1.642827
22.333333,3.102934,-0.410118,1.069155
22.366667,3.111228,-0.410925,-0.097092
22.400000,3.128794,-0.406757,-0.858005
22.433333,3.145313,-0.414102,-1.510156
22.466667,3.161000,-0.423166,-1.616761
22.500000,3.164253,-0.430838,-1.169729
